taxa,PC1,PC2,PC3
06WA-456.9,-19.6524911821311,-16.6294877740085,1.19003690768751
06WA-466.16,-25.0345957410552,-3.21897687123483,-0.989097940832559
06WA-466.6,-24.7455138855781,-3.35292152911803,-1.94456630843245
06WA-469.14,-24.9895895318906,-8.83290481042829,-1.81537252692457
06WA-472.13,-23.9079258405581,-14.3421852553676,-2.04279337891099
06WA-473.9,-25.7448239035773,-16.4349720754435,-1.59863053305647
06WA-475.15,-20.0673728166982,-13.0217490555422,2.15665563106846
06WA-406.11,-22.4333182285971,-2.9380170145386,-1.55859769808684
06WA-406.18,-22.1445297932243,-0.495539007549894,-3.33577612549963
06WA-406.21,-26.3441642165951,-3.63352613118239,-6.36557949003621
06WA-406.9,-23.8657901853126,-4.8289239536494,-4.85000093188753
06WA-408.14,-24.9449365302063,-9.42546713558871,-2.86133946650469
06WA-409.8,-24.4629550442399,-14.1555099312605,-1.19094780714597
06WA-412.12,-22.8032424983294,-15.1704967956987,0.756601210704648
06WA-412.29,-24.3835198420036,-10.727738864019,-1.46886450410028
06WA-412.5,-25.8996096343765,-10.6254496521346,-2.05762795295286
06WA-414.10,-19.1799933997453,-6.37460324235189,0.277403914318698
06WA-414.23,-19.7068233218308,-7.6591180095306,-3.65359214440852
06WA-421.17,-23.3980701684455,-12.4849253611383,1.36627070802425
06WA-422.19,-20.7385435245951,-4.27953343643602,-3.22234935630515
06WA-423.21,-21.8080428047457,-14.4009323466213,1.56290907682541
06WA-425.3,-26.5602167271465,-3.3835194203536,-5.89608923966959
06WA-427.15,-25.2050815865232,-11.5263731462295,-4.09764747384307
06WA-428.11,-24.5755960646709,-7.86621117416506,-1.25505558982904
06WA-429.10,-24.5609291336619,-0.122122084200386,-8.78914218046318
06WA-432.7,-25.2388593523217,-9.87820794214123,-5.02085647677839
06WA-444.5,-19.9217035348838,-1.0464385622155,-4.70553657654417
06WA-453.1,-24.7352467718478,-12.3997998096571,-3.50818526209166
06WA-458.10,-24.6716090371004,-9.23073097353354,-1.13293292915732
06WA-458.20,-23.2663741684958,-8.53202285735868,-0.292388620431237
06WA-458.8,-26.793396978574,-12.1384651649909,-3.28948584495763
06WA-461.1,-26.4194468766925,-0.562811645318888,-5.18455299636524
06WA-461.23,-24.2590950867466,-1.25106266087047,-3.47510893588392
06WA-470.7,-16.7197580410198,-6.3707750140471,-1.58777030060576
06WA-473.11,-23.780059546855,-14.6853736730478,-0.309712465060877
06WA-473.17,-25.4258592924392,-17.0120186912681,-1.22207006353328
06WA-473.3,-25.2217461150173,-20.2737182438294,-0.717143932149277
06WA-475.14,-23.831670367728,-15.2795577493756,-0.903545268521536
03WA-105.4HW-1,-20.3911274641882,-8.61874930407595,3.07273075979091
03WA-168.14W-3,-21.7591176084683,-8.73540265078406,-0.870484211729581
03WA-203.18HW-1,-14.7497661916944,-7.04838969847509,2.79577369399491
03WA-203.1HW-1,-17.3765799475836,-8.16262695424426,2.28598042905328
03WA-203.9HW-1,-17.1664015189206,-7.66378244321957,1.36512496786393
03WA-204.19W-1,-20.1554040056901,-8.87207045604333,1.00975348539077
03WA-204.22W-4,-22.2123774873265,-14.9106097517479,2.47518928624103
03WA-204.4W-2,-22.2557054869214,-10.355826583361,1.22875011150141
03WA-204.9W-1,-18.9091987152493,-7.66327786524337,1.26384932536533
06WA-420.10,-24.386087723478,-4.0272793972823,-4.50327538932482
06WA-420.19,-22.3218218112834,-3.83429186963694,-3.69674789654942
MERESSE,-19.8221853239106,-15.7681122810165,2.21173073850611
X02007-DH1,-26.0785629646437,-11.4062059112561,-4.44766992753328
X02007-DH12,-25.5676334367762,-11.1974508897576,-5.47320440260158
X02007-DH6,-26.0906044439058,-9.99277931162885,-6.79332968829458
X02035-DH2,-24.3660814665069,-11.0177294869323,-1.11635035870428
X02037-DH1,-25.0279414919347,-3.92970362608278,-6.43490011400486
X02037-DH5,-25.4880394256928,-17.4926065481368,-1.81262226643579
X04012-T149,-18.4435301396402,-5.85848650018823,-0.030600331240978
X04012-T172,-21.3336101646275,-12.551570983081,-0.504046181367368
X04012-T46,-19.2132827766421,-8.71621672850419,0.783933615670611
X04012-T51,-17.8368169182858,-5.30597804688351,2.01017496086699
X04012-T80,-17.9069464506516,-7.60288694684699,-0.235650213097196
X04041-T113,-20.3371259057895,-7.46529975987508,-0.910295840110259
X04041-T15,-17.8184296166005,-11.3808353554279,1.46930948062149
X04041-T194,-18.9728302799337,-10.6509448006465,0.324548922360899
X04041-T32,-17.5075566000772,-5.67571308011117,2.4488325964692
X04041-T7,-16.7363582172762,-10.7213969067901,2.63187543948255
X04041-T81,-17.9921934784541,-11.8387365477395,1.54386044661041
X04055-T3,-22.7988454089126,-11.9186605613369,-0.0434882130141697
X04055-T56,-23.6423942750928,-10.5456847109895,0.10306544362296
X04061-T71,-23.7485486993346,-15.0120211187908,-2.1724748439178
2AB07-X04M219-46,-24.6017185994982,-1.38069750404154,-3.7072017856267
2AB07-X04M219-14,-24.9658168042449,0.468448914543282,-4.47478019604352
2AB07-X030154-35,-19.7070049017042,-13.7375258340679,2.99282174607898
2AB07-X030154-25,-19.7740425030769,-15.7977838551776,2.4729094235796
