Taxa	protein			
FEG192-42	15			
FEG192-49	14.1			
FEG192-56	13.5			
FEG192-69	13			
GERALDINE	12.3			
HARRINGTON	12			
HAXBY	12.4			
HOCKETT	11.9			
MERESSE	14.9			
MN05-01	12.1			
MN05-03	12.4			
MN05-04	12			
MN05-05	12.1			
MN05-07	12.3			
MN05-08	11.6			
MN05-09	11.8			
MN05-11	12.5			
MN05-12	11.5			
MN05-13	12			
MN05-15	13.1			
MN05-16	12.9			
MN05-17	12.6			
MN05-19	12.4			
MN05-20	12.6			
MN05-21	12.7			
MN05-24	13.3			
MN05-25	11.6			
MN05-29	13.1			
MN05-31	13.5			
MN05-35	13.7			
MN05-39	12.7			
MT080005	11.9			
MT080006	13.9			
MT080010	13.8			
MT080011	13.2			
MT080044	12			
MT080047	13			
MT080053	12.5			
MT080055	11.7			
MT080056	13.3			
MT080061	12.8			
MT080077	12.1			
MT080083	12.1			
MT080084	12.5			
MT080085	11.9			
MT080087	12.7			
MT080104	12.3			
MT080106	11.7			
MT080107	12.1			
MT080112	11.7			
MT080113	12.9			
MT080119	11.6			
MT080120	12.5			
MT080128	13.6			
MT080129	13.6			
MT080142	13.2			
MT080152	13.5			
MT080153	12.2			
MT080154	12.8			
MT080155	11.5			
MT080156	13.1			
MT080160	12			
MT080161	13			
MT080164	11.9			
MT080165	11.8			
MT080166	12.4			
MT080170	11.4			
MT080173	12.1			
MT080177	12.9			
MT080179	12.4			
MT080182	12			
MT080184	13.5			
MT080189	12			
MT080190	12			
MT080192	11.1			
MT080193	13.4			
MT080197	13			
MT080198	12.8			
MT080199	13.5			
MT080200	12.9			
MT080203	12.6			
MT080206	12.9			
MT080208	13.5			
MT080211	13			
MT080217	12.1			
MT080220	12.6			
MT080221	12.5			
MT080230	12.1			
MT080231	12.6			
MT080232	12.4			
MT080236	13.7			
MT080238	13.1			
MT080239	12.3			
MT080243	11.6			
MT080248	12.2			
MT080249	11.3			
MT080254	12.9			
MT080255	12.5			
MT080256	12.4			
MT080257	12.6			
MT080258	12.6			
MT080260	12.6			
MT080262	12.7			
MT080270	12			
MT080272	11.5			
MT080273	12.1			
MT080275	12.4			
MT080277	12.1			
MT080279	12.2			
MT080281	11.6			
MT080282	12.5			
MT080283	11.7			
MT080284	11.2			
MT080285	11.9			
MT080286	12.4			
MT080289	12.9			
MT080290	13			
MT080291	12.8			
MT080292	12.4			
MT080300	12.6			
MT080305	12.3			
MT080327	12.4			
MT080328	12.1			
MT080351	13.3			
MT080353	12			
MT080370	12.1			
MT080372	11.5			
ND20448	12.2			
ND24843	12.4			
ND24890	12.7			
ND24906	12.1			
ND24978	12.1			
ND25025	11.1			
ND25030	12.6			
ND25033	12.2			
ND25148	11			
ND25151	11.5			
ND25152	11.3			
ND25153	10.9			
ND25160	10.9			
ND25161	10.6			
ND25163	12.2			
ND25165	10.7			
ND25172	11.4			
ND25205	10.7			
ND25208	10.6			
ND25220	10.7			
ND25768	11.9			
ND25782	12			
ND25786	12.2			
ND25805	12.5			
ND25824	10.8			
ND25825	11.1			
ND25826	10.9			
ND25832	11.6			
ND25835	11.8			
ND25839	12			
ND25840	10.8			
ND25843	11.3			
ND25882	12			
ND25908	12.3			
