taxa,PC1,PC2,PC3
06WA-422.19,-20.8082141397317,-4.26425940910868,-3.2116916884761
06WA-423.21,-21.8277421101392,-14.3429825301041,1.61499474733016
06WA-425.3,-26.571060676967,-3.47322740873858,-5.90676598438608
06WA-427.15,-25.1616863579481,-11.5814588304639,-4.13494800664107
06WA-428.11,-24.5686523775647,-7.85406507134525,-1.23979802145223
06WA-429.10,-24.5603186544465,-0.109359098932493,-8.74170187075482
06WA-432.7,-25.2647664993276,-9.89274762099921,-5.06047667890737
06WA-444.5,-19.9176402058373,-0.980227617024713,-4.63013524332252
06WA-453.1,-24.7363719099673,-12.4226854948724,-3.57604416962258
06WA-458.10,-24.6546403433484,-9.26226076061427,-1.10591677554846
06WA-458.20,-23.2476295130119,-8.57435564010187,-0.283568370486229
06WA-458.8,-26.7806572155118,-12.1559806216006,-3.25247155327806
06WA-461.1,-26.3926912953838,-0.538063117863516,-5.2311788197795
06WA-461.23,-24.3300084677906,-1.26661602589194,-3.55788521991427
06WA-470.7,-16.8780841794024,-6.29137938453776,-1.51427319867046
06WA-473.11,-23.7520430668584,-14.5721426552881,-0.213423985242124
06WA-473.17,-25.4547938095837,-16.9537252934405,-1.12837760119174
06WA-473.3,-25.230845870243,-20.2435925116121,-0.695805764171392
06WA-475.14,-23.8351522838169,-15.2650540391262,-0.956861662398848
03WA-105.4HW-1,-20.4167910777054,-8.59541117548921,3.15506106287061
03WA-168.14W-3,-21.7629899179607,-8.71710743800907,-0.831691835713309
03WA-203.18HW-1,-14.6313974445263,-7.01750346884737,2.82545818971217
03WA-203.1HW-1,-17.4018868416532,-8.13782450586778,2.34332761990708
03WA-203.9HW-1,-17.1484952464549,-7.64836540129939,1.46881595742477
03WA-204.19W-1,-19.9874512297636,-8.74934816050428,1.04207552741981
03WA-204.22W-4,-22.1936535354592,-14.8528687148624,2.56030146153699
03WA-204.4W-2,-22.1125421106955,-10.3019611734972,1.22672365548166
03WA-204.9W-1,-18.828738765729,-7.66791867708869,1.25060029229239
06WA-420.10,-24.4231156266831,-4.06089718583234,-4.48561730203964
06WA-420.19,-22.2741129207902,-3.88573745185392,-3.80613295401587
MERESSE,-19.7978946816869,-15.586211995058,2.32608552801394
X02007-DH1,-26.0975536189828,-11.3893827624544,-4.43704562561072
X02007-DH12,-25.5503976201195,-11.1912167101493,-5.45297496564674
X02007-DH6,-26.0955200576589,-10.0151510407383,-6.74724185971427
X02035-DH2,-24.3904572082363,-11.0010551939712,-1.06074501772919
X02037-DH1,-25.0230168968255,-3.92832858872741,-6.53344287398135
X02037-DH5,-25.4935677456247,-17.5023305599576,-1.79230742882157
X04012-T149,-18.4333389224939,-5.83133826022804,0.00172160510348629
X04012-T172,-21.2639769599116,-12.4345402576769,-0.500996947796153
X04012-T46,-19.2198877068957,-8.64661908143702,0.851289547827604
X04012-T51,-17.8458933128814,-5.26464752889984,2.09770118819995
X04012-T80,-17.8632969547215,-7.70008687518791,-0.135294529204627
X04041-T113,-20.3318126033577,-7.43779023696962,-0.8532187538954
X04041-T15,-17.8145110800755,-11.3629863734229,1.53751623431262
X04041-T194,-18.9763187901857,-10.6089495626053,0.359721317315189
X04041-T32,-17.5127181942419,-5.65581578740476,2.50742743224125
X04041-T7,-16.7087673417788,-10.6942504299387,2.7549941449073
